order_id,order_date,delivery_date,component_id,component_name,cost_per_unit,quantity,supplier_id,supplier_name,supplier_region,geopolitical_risk,avg_quality_score,is_critical,region,delivered_on_time,shipping_cost,weather_event,defect_rate
O00000,2023-01-13,2023-02-15,C001,Semiconductor A,25.0,3757,S001,Supplier A,APAC,0.7,92.1,True,Americas,Yes,381.4,NA,1.75
O00001,2023-02-14,2023-03-14,C005,Inductor Z,3.0,588,S001,Supplier A,APAC,0.7,92.1,False,Americas,Yes,321.8,NA,1.43
O00002,2023-01-14,2023-02-10,C005,Inductor Z,3.0,9028,S001,Supplier A,APAC,0.7,92.1,False,Americas,Yes,745.38,Typhoon,1.82
O00003,2024-02-19,2024-02-24,C003,Resistor X,0.8,2715,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,Yes,1107.58,NA,1.76
O00004,2023-04-21,2023-05-20,C002,Capacitor B,1.2,1619,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,Yes,693.91,NA,0.88
O00005,2023-05-16,2023-06-20,C005,Inductor Z,3.0,7627,S001,Supplier A,APAC,0.7,92.1,False,APAC,Yes,897.1,Typhoon,1.38
O00006,2023-05-31,2023-07-06,C005,Inductor Z,3.0,6025,S001,Supplier A,APAC,0.7,92.1,False,APAC,Yes,950.56,Earthquake,2.29
O00007,2023-12-05,2023-12-22,C001,Semiconductor A,25.0,1407,S001,Supplier A,APAC,0.7,92.1,True,EMEA,Yes,1311.91,NA,1.88
O00008,2023-08-21,2023-09-15,C003,Resistor X,0.8,2764,S002,Supplier B,EMEA,0.3,95.4,False,Americas,No,681.24,NA,0.77
O00009,2023-12-26,2024-01-21,C003,Resistor X,0.8,2903,S002,Supplier B,EMEA,0.3,95.4,False,APAC,Yes,894.38,NA,1.27
O00010,2023-07-14,2023-07-27,C004,Semiconductor X,22.5,9225,S003,Supplier C,Americas,0.5,93.2,True,APAC,No,485.5,NA,0.77
O00011,2024-02-25,2024-03-02,C002,Capacitor B,1.2,6672,S002,Supplier B,EMEA,0.3,95.4,False,Americas,No,548.06,NA,0.77
O00012,2023-04-19,2023-05-14,C003,Resistor X,0.8,7617,S002,Supplier B,EMEA,0.3,95.4,False,APAC,Yes,385.73,NA,1.12
O00013,2023-10-03,2023-10-21,C005,Inductor Z,3.0,7119,S001,Supplier A,APAC,0.7,92.1,False,EMEA,Yes,1367.17,Typhoon,0.54
O00014,2023-03-12,2023-04-02,C002,Capacitor B,1.2,871,S002,Supplier B,EMEA,0.3,95.4,False,Americas,Yes,1319.43,NA,0.14
O00015,2024-02-10,2024-03-07,C002,Capacitor B,1.2,1140,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,Yes,700.2,Flood,0.72
O00016,2023-05-09,2023-06-05,C005,Inductor Z,3.0,288,S001,Supplier A,APAC,0.7,92.1,False,Americas,No,1084.37,NA,0.99
O00017,2024-01-20,2024-02-07,C005,Inductor Z,3.0,5673,S001,Supplier A,APAC,0.7,92.1,False,APAC,Yes,345.02,Typhoon,1.66
O00018,2023-01-02,2023-01-30,C004,Semiconductor X,22.5,4415,S003,Supplier C,Americas,0.5,93.2,True,Americas,No,1463.45,NA,0.55
O00019,2024-03-21,2024-04-20,C001,Semiconductor A,25.0,8417,S001,Supplier A,APAC,0.7,92.1,True,EMEA,Yes,991.66,NA,0.79
O00020,2023-10-04,2023-11-02,C002,Capacitor B,1.2,109,S002,Supplier B,EMEA,0.3,95.4,False,APAC,No,978.63,Typhoon,1.73
O00021,2024-04-20,2024-05-11,C001,Semiconductor A,25.0,5138,S001,Supplier A,APAC,0.7,92.1,True,Americas,No,511.29,NA,1.39
O00022,2023-02-13,2023-03-18,C001,Semiconductor A,25.0,1233,S001,Supplier A,APAC,0.7,92.1,True,APAC,Yes,1471.38,Flood,1.53
O00023,2023-12-04,2023-12-24,C002,Capacitor B,1.2,2805,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,No,544.57,Flood,0.29
O00024,2024-04-20,2024-05-12,C002,Capacitor B,1.2,3395,S002,Supplier B,EMEA,0.3,95.4,False,Americas,Yes,1126.83,Typhoon,0.73
O00025,2023-08-13,2023-09-03,C003,Resistor X,0.8,4161,S002,Supplier B,EMEA,0.3,95.4,False,APAC,Yes,492.11,NA,1.06
O00026,2023-10-11,2023-10-28,C005,Inductor Z,3.0,217,S001,Supplier A,APAC,0.7,92.1,False,APAC,Yes,292.29,Earthquake,0.92
O00027,2023-02-04,2023-02-10,C002,Capacitor B,1.2,1260,S002,Supplier B,EMEA,0.3,95.4,False,Americas,No,868.4,NA,1.19
O00028,2023-04-20,2023-05-12,C004,Semiconductor X,22.5,9455,S003,Supplier C,Americas,0.5,93.2,True,EMEA,Yes,949.08,NA,0.7
O00029,2023-04-08,2023-04-16,C004,Semiconductor X,22.5,7162,S003,Supplier C,Americas,0.5,93.2,True,EMEA,Yes,660.59,Typhoon,0.85
O00030,2023-12-11,2024-01-10,C001,Semiconductor A,25.0,1712,S001,Supplier A,APAC,0.7,92.1,True,EMEA,No,278.8,Earthquake,1.2
O00031,2023-05-08,2023-05-24,C001,Semiconductor A,25.0,7450,S001,Supplier A,APAC,0.7,92.1,True,EMEA,Yes,382.24,NA,2.43
O00032,2023-05-08,2023-05-15,C004,Semiconductor X,22.5,9116,S003,Supplier C,Americas,0.5,93.2,True,Americas,Yes,327.28,Earthquake,0.99
O00033,2024-05-11,2024-05-23,C001,Semiconductor A,25.0,3972,S001,Supplier A,APAC,0.7,92.1,True,EMEA,No,416.2,Typhoon,0.97
O00034,2024-03-18,2024-04-04,C002,Capacitor B,1.2,2797,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,No,692.67,Typhoon,1.41
O00035,2023-05-27,2023-06-14,C004,Semiconductor X,22.5,9205,S003,Supplier C,Americas,0.5,93.2,True,APAC,Yes,1060.43,Typhoon,0.39
O00036,2023-06-01,2023-06-12,C002,Capacitor B,1.2,9589,S002,Supplier B,EMEA,0.3,95.4,False,Americas,No,1156.46,NA,1.1
O00037,2023-01-30,2023-02-05,C003,Resistor X,0.8,8338,S002,Supplier B,EMEA,0.3,95.4,False,APAC,Yes,1395.2,Flood,0.02
O00038,2024-05-06,2024-06-01,C001,Semiconductor A,25.0,3144,S001,Supplier A,APAC,0.7,92.1,True,Americas,Yes,289.08,NA,0.84
O00039,2023-07-26,2023-08-03,C002,Capacitor B,1.2,9433,S002,Supplier B,EMEA,0.3,95.4,False,APAC,No,520.08,Flood,1.1
O00040,2023-02-11,2023-03-06,C005,Inductor Z,3.0,9360,S001,Supplier A,APAC,0.7,92.1,False,APAC,Yes,879.62,NA,1.87
O00041,2023-05-03,2023-05-16,C003,Resistor X,0.8,5015,S002,Supplier B,EMEA,0.3,95.4,False,APAC,Yes,794.39,NA,1.09
O00042,2023-11-15,2023-12-08,C004,Semiconductor X,22.5,1300,S003,Supplier C,Americas,0.5,93.2,True,EMEA,No,898.92,Flood,0.94
O00043,2024-04-22,2024-05-08,C002,Capacitor B,1.2,4102,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,No,680.39,NA,0.85
O00044,2023-12-27,2024-01-15,C005,Inductor Z,3.0,8766,S001,Supplier A,APAC,0.7,92.1,False,EMEA,Yes,210.17,Flood,0.76
O00045,2024-04-25,2024-06-02,C001,Semiconductor A,25.0,1991,S001,Supplier A,APAC,0.7,92.1,True,Americas,Yes,1356.63,Earthquake,1.14
O00046,2023-05-20,2023-06-03,C002,Capacitor B,1.2,5717,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,Yes,464.68,Earthquake,0.77
O00047,2023-09-08,2023-09-26,C005,Inductor Z,3.0,932,S001,Supplier A,APAC,0.7,92.1,False,EMEA,No,319.99,Typhoon,2.03
O00048,2023-01-02,2023-01-22,C001,Semiconductor A,25.0,4391,S001,Supplier A,APAC,0.7,92.1,True,Americas,Yes,410.06,Typhoon,1.67
O00049,2023-10-15,2023-10-20,C004,Semiconductor X,22.5,2542,S003,Supplier C,Americas,0.5,93.2,True,Americas,Yes,909.27,NA,0.12
O00050,2023-03-17,2023-04-09,C005,Inductor Z,3.0,5150,S001,Supplier A,APAC,0.7,92.1,False,EMEA,Yes,674.05,NA,1.66
O00051,2023-12-16,2023-12-28,C002,Capacitor B,1.2,5894,S002,Supplier B,EMEA,0.3,95.4,False,Americas,Yes,1214.15,Typhoon,0.81
O00052,2024-04-18,2024-04-30,C002,Capacitor B,1.2,3000,S002,Supplier B,EMEA,0.3,95.4,False,APAC,No,1345.84,NA,0.66
O00053,2024-02-05,2024-02-23,C003,Resistor X,0.8,4165,S002,Supplier B,EMEA,0.3,95.4,False,APAC,No,546.85,Earthquake,1.31
O00054,2024-03-22,2024-03-28,C004,Semiconductor X,22.5,3744,S003,Supplier C,Americas,0.5,93.2,True,EMEA,No,459.44,Typhoon,1.52
O00055,2024-02-25,2024-03-26,C003,Resistor X,0.8,3752,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,No,230.76,NA,1.47
O00056,2023-05-23,2023-05-30,C003,Resistor X,0.8,4673,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,No,656.49,Flood,0.58
O00057,2023-06-19,2023-07-29,C005,Inductor Z,3.0,4379,S001,Supplier A,APAC,0.7,92.1,False,APAC,Yes,432.14,NA,1.35
O00058,2023-11-02,2023-11-25,C001,Semiconductor A,25.0,5239,S001,Supplier A,APAC,0.7,92.1,True,APAC,Yes,767.31,Flood,1.67
O00059,2024-04-05,2024-04-28,C004,Semiconductor X,22.5,827,S003,Supplier C,Americas,0.5,93.2,True,Americas,Yes,1121.42,NA,1.49
O00060,2023-12-18,2024-01-20,C005,Inductor Z,3.0,3328,S001,Supplier A,APAC,0.7,92.1,False,Americas,No,673.49,NA,1.26
O00061,2023-11-16,2023-12-01,C003,Resistor X,0.8,2141,S002,Supplier B,EMEA,0.3,95.4,False,Americas,Yes,1135.68,NA,0.91
O00062,2023-12-08,2023-12-26,C003,Resistor X,0.8,4944,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,Yes,920.74,NA,0.45
O00063,2023-12-13,2024-01-10,C004,Semiconductor X,22.5,9424,S003,Supplier C,Americas,0.5,93.2,True,APAC,No,591.23,Flood,0.4
O00064,2023-05-27,2023-06-07,C003,Resistor X,0.8,9602,S002,Supplier B,EMEA,0.3,95.4,False,EMEA,Yes,988.66,NA,1.41
O00065,2023-08-15,2023-09-10,C004,Semiconductor X,22.5,7852,S003,Supplier C,Americas,0.5,93.2,True,APAC,Yes,1231.86,Earthquake,1.68
O00066,2023-05-26,2023-06-21,C001,Semiconductor A,25.0,5591,S001,Supplier A,APAC,0.7,92.1,True,Americas,Yes,321.4,NA,1.46
O00067,2023-04-26,2023-05-26,C003,Resistor X,0.8,500,S002,Supplier B,EMEA,0.3,95.4,False,Americas,Yes,260.08,Typhoon,1.5
